code	0-15 hours	16-30 hours	31-48 hours	49+ hours
E00000977	26	23	95	35
E00000978	20	32	88	26
E00000979	25	44	76	30
E00000980	17	33	69	12
E00000981	30	39	98	44
E00000982	34	37	88	37
E00000983	26	33	73	36
E00000984	27	39	134	40
E00000985	20	25	72	30
E00000986	13	34	107	37
E00000987	20	37	98	34
E00000988	22	28	91	37
E00000989	24	29	155	37
E00000990	8	18	62	25
E00000991	17	22	68	20
E00000992	13	44	127	31
E00000993	23	29	76	45
E00000994	14	19	71	10
E00000995	16	33	93	17
E00000996	20	20	114	27
E00000997	13	31	103	26
E00000998	17	31	59	19
E00000999	15	23	87	40
E00001000	11	16	55	18
E00001001	20	21	59	15
E00001002	28	60	123	29
E00001003	20	32	80	33
E00001004	23	38	136	33
E00001005	19	33	134	34
E00001006	15	31	104	34
E00001007	19	32	119	31
E00001008	19	37	92	29
E00001009	15	27	86	15
E00001010	20	39	79	33
E00001011	23	34	79	36
E00001012	10	11	38	22
E00001013	23	20	126	46
E00001014	29	29	99	46
E00001015	13	29	79	36
E00001016	18	30	125	37
E00001017	15	27	71	46
E00001018	11	20	66	29
E00001019	13	24	89	35
E00001020	22	31	65	41
E00001021	19	31	100	30
E00001022	10	34	72	37
E00001023	19	28	71	47
E00001024	18	29	95	31
E00001025	19	30	63	50
E00001026	21	20	113	34
E00001027	14	19	94	35
E00001028	23	27	97	45
E00001029	14	16	67	31
E00001030	27	25	74	35
E00001031	21	27	55	48
E00001032	19	20	81	29
E00001033	11	23	76	27
E00001034	10	25	99	23
E00001035	12	25	100	28
E00001036	12	26	69	23
E00001037	20	34	67	32
E00001038	11	22	70	36
E00001039	4	22	58	12
E00001040	16	25	69	30
E00001041	4	8	32	4
E00001042	12	15	58	14
E00001043	22	24	58	52
E00001044	22	30	66	44
E00001045	23	22	56	28
E00001046	26	23	71	47
E00001047	26	30	72	51
E00001048	32	64	160	35
E00001049	21	29	76	56
E00001050	18	30	134	36
E00001051	21	20	50	40
E00001052	12	23	69	34
E00001053	19	31	66	47
E00001054	27	13	54	45
E00001055	21	33	117	31
E00001056	23	26	132	34
E00001057	15	31	74	46
E00001058	17	14	92	51
E00001059	20	35	98	53
E00001060	8	30	87	17
E00001061	17	30	94	30
E00001062	25	49	125	41
E00001063	27	44	99	36
E00001064	11	34	88	43
E00001065	26	38	74	29
E00001066	19	55	125	23
E00001067	28	26	110	34
E00001068	22	45	93	33
E00001069	25	36	90	30
E00001070	27	41	109	18
E00001071	25	36	97	29
E00001072	25	47	104	36
E00001073	32	37	93	20
E00001074	26	58	132	25
E00001075	24	56	100	27
E00001076	14	26	62	12
E00001077	16	45	122	34
E00001078	15	25	62	12
E00001079	14	17	42	12
E00001080	26	34	94	16
E00001081	15	31	92	18
E00001082	17	42	83	24
E00001083	8	38	94	11
E00001084	17	25	66	20
E00001085	23	36	99	17
E00001086	21	34	116	31
E00001087	11	33	72	28
E00001088	13	40	103	20
E00001089	24	37	88	22
E00001090	8	34	66	12
E00001091	17	31	83	30
E00001092	25	49	91	47
