code	AB Upper Middle Class	C1 Lower Middle Class	C2 Skilled Working Class	DE Working Class
E00000889	14	32	17	30
E00000890	36	24	13	14
E00000891	61	62	17	18
E00000892	50	33	8	20
E00000893	64	47	10	12
E00000894	36	45	14	26
E00000895	49	37	11	8
E00000896	21	35	13	27
E00000897	6	18	10	32
E00000898	57	23	9	10
E00000899	58	34	14	9
E00000900	46	30	12	12
E00000901	44	41	8	11
E00000902	19	35	14	40
E00000903	56	26	10	8
E00000904	8	19	8	18
E00000905	69	22	4	3
E00000906	47	34	9	8
E00000907	62	27	11	9
E00000908	50	36	6	17
E00000909	50	31	6	8
E00000910	62	37	6	12
E00000911	44	50	15	19
E00000912	26	31	17	23
E00000913	41	26	3	8
E00000914	45	33	6	3
E00000915	58	43	7	14
E00000916	44	34	11	12
E00000917	24	19	6	3
E00000918	39	36	11	10
E00000919	68	40	10	4
E00000920	61	39	15	17
E00000921	30	23	15	36
E00000922	50	16	10	10
E00000923	9	13	8	11
E00000924	14	26	21	23
E00000925	42	35	11	12
E00000926	45	31	5	3
E00000927	39	21	14	11
E00000928	38	31	7	12
E00000929	56	29	9	6
E00000930	45	29	4	13
E00000931	44	30	8	10
E00000932	42	32	19	11
E00000933	25	34	18	55
E00000934	42	29	6	11
E00000935	39	37	20	11
E00000936	58	20	5	5
E00000937	18	48	21	49
E00000938	37	21	9	23
E00000939	41	32	4	7
E00000940	32	32	5	7
E00000941	36	31	13	23
E00000942	4	33	17	57
E00000943	16	29	17	51
E00000944	42	30	15	13
E00000945	38	26	2	9
E00000946	10	49	24	60
E00000947	33	35	9	19
E00000948	56	30	2	6
E00000949	26	21	6	8
E00000950	37	25	10	17
E00000951	37	32	7	17
E00000952	36	20	8	13
E00000953	32	51	31	47
E00000954	45	29	6	10
E00000955	28	45	18	22
E00000956	26	35	14	18
E00000957	36	55	21	38
E00000958	21	49	27	52
E00000959	32	37	22	27
E00000960	22	32	23	17
E00000961	29	43	36	63
E00000962	14	23	21	23
E00000963	11	28	20	39
E00000964	22	49	32	44
E00000965	14	27	13	42
E00000966	38	42	11	6
E00000967	31	29	5	31
E00000968	42	45	18	14
E00000969	27	22	7	8
E00000970	43	28	8	16
E00000971	36	28	6	8
E00000972	58	18	7	4
E00000973	43	41	19	15
E00000974	44	27	14	19
E00000975	54	26	9	7
E00000976	16	41	14	39
E00000977	44	29	3	11
E00000978	50	34	11	5
E00000979	48	27	7	5
E00000980	24	22	6	27
E00000981	54	36	3	7
E00000982	48	24	4	4
E00000983	37	35	4	19
E00000984	63	49	10	13
E00000985	41	20	13	7
E00000986	36	32	17	24
E00000987	61	27	7	8
E00000988	51	25	7	20
E00000989	38	58	25	29
E00000990	29	32	1	5
E00000991	25	37	13	15
E00000992	46	35	21	30
E00000993	58	22	6	3
E00000994	27	26	10	10
E00000995	34	40	11	25
E00000996	45	45	17	13
E00000997	53	36	13	26
E00000998	37	25	9	10
E00000999	52	40	5	9
E00001000	22	32	9	25
E00001001	29	30	5	16
E00001002	56	29	11	11
E00001003	42	38	7	9
E00001004	52	31	13	11
E00001005	53	53	15	17
E00001006	48	22	9	18
E00001007	51	24	13	6
E00001008	49	26	9	12
E00001009	36	34	14	28
E00001010	47	20	2	16
E00001011	66	25	6	2
E00001012	26	29	6	4
E00001013	89	40	10	6
E00001014	78	37	7	5
E00001015	50	24	8	6
E00001016	67	45	7	11
E00001017	41	15	7	5
E00001018	38	31	12	12
E00001019	43	29	6	9
E00001020	45	29	5	6
E00001021	42	36	10	27
E00001022	54	27	7	11
E00001023	61	21	4	5
E00001024	56	30	5	11
E00001025	58	21	4	5
E00001026	44	41	14	22
E00001027	60	21	3	10
E00001028	62	33	4	5
E00001029	37	35	6	6
E00001030	57	17	5	6
E00001031	47	30	3	4
E00001032	45	37	5	6
E00001033	42	30	12	16
E00001034	28	28	18	28
E00001035	49	26	4	13
E00001036	45	32	3	8
E00001037	51	27	4	5
E00001038	56	21	3	5
E00001039	23	37	4	16
E00001040	54	30	4	7
E00001041	14	15	1	9
E00001042	36	18	4	4
E00001043	57	25	3	1
E00001044	56	26	6	1
E00001045	39	21	5	2
E00001046	57	23	6	1
E00001047	70	19	2	3
E00001048	33	65	21	29
E00001049	61	25	4	2
E00001050	40	39	10	32
E00001051	38	21	6	7
E00001052	50	24	7	4
E00001053	54	21	6	4
E00001054	47	12	2	2
E00001055	56	21	11	8
E00001056	54	38	11	18
E00001057	58	19	3	10
E00001058	70	25	9	3
E00001059	67	29	4	5
E00001060	44	28	11	19
E00001061	19	35	28	32
E00001062	40	56	23	31
E00001063	53	37	12	16
E00001064	40	26	11	14
E00001065	36	33	7	13
E00001066	29	49	25	25
E00001067	62	30	10	16
E00001068	44	39	11	9
E00001069	36	38	23	29
E00001070	37	30	19	23
E00001071	36	47	5	13
E00001072	34	55	22	23
E00001073	42	34	19	25
E00001074	42	46	16	19
E00001075	26	37	15	35
E00001076	21	29	18	49
E00001077	33	36	14	21
E00001078	14	25	22	24
E00001079	9	24	8	30
E00001080	20	23	22	35
E00001081	15	29	14	32
E00001082	25	35	12	31
E00001083	18	18	20	28
E00001084	14	22	23	26
E00001085	20	36	9	33
E00001086	18	46	26	23
